Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
1_1;1;1;1;Root;Root;Root;0;0,003726708;0,183850932;0,026086957;0,41863354;0;0,001242236;0,267080745;0;0;0,004968944;0,002484472
1_2;1;2;2;Root;Root;Root;0;0;0,228915663;0,034136546;0,138554217;0;0,002008032;0,341365462;0,012048193;0;0,238955823;0,002008032
1_3;1;3;3;Root;Root;Root;0;0;0,618421053;0,197368421;0,184210526;0;0;0;0;0;0;0
1_4;1;4;4;Root;Root;Root;0;0;0,804597701;0;0,022988506;0;0;0;0;0;0,045977011;0,08045977
1_5;1;5;5;Root;Root;Root;0,032258065;0;0;0,016129032;0,080645161;0;0,008064516;0,064516129;0,016129032;0,032258065;0;0
10_2;10;47;2;Root;Root;Root;0;0,034668261;0,1398685;0,006575015;0,102211596;0,101613867;0;0,557680813;0,001195457;0,006575015;0,038852361;0
10_3;10;48;3;Root;Root;Root;0;0,014975042;0,166389351;0,650582363;0,013311148;0;0;0,014975042;0;0,026622296;0,013311148;0,088186356
10_5;10;50;5;Root;Root;Root;0;0,004106776;0,082135524;0,247433265;0,090349076;0;0;0,415811088;0,034907598;0,062628337;0,012320329;0,029774127
2_1;2;6;1;Root;Root;Root;0;0,112;0,1;0,548;0;0,008;0,004;0;0,036;0,004;0,068;0
2_2;2;7;2;Root;Root;Root;0;0,071322437;0,124814264;0,040118871;0,069836553;0,170876672;0;0,396731055;0;0,019316493;0,034175334;0
2_3;2;8;3;Root;Root;Root;0;0,024640657;0,18275154;0,012320329;0;0;0,04312115;0;0,50513347;0,036960986;0,028747433;0
2_4;2;9;4;Root;Root;Root;0;0,021077283;0,051522248;0,632318501;0;0,032786885;0,077283372;0,070257611;0,018735363;0,011709602;0,018735363;0
2_5;2;10;5;Root;Root;Root;0;0,138169257;0;0,383419689;0;0;0,056994819;0,006908463;0;0,153713299;0;0,001727116
3_1;3;11;1;Root;Root;Root;0;0;0,049360146;0;0,096892139;0;0;0;0,001828154;0,179159049;0,060329068;0
3_2;3;12;2;Root;Root;Root;0,021505376;0;0;0;0;0;0;0,559139785;0;0;0,365591398;0,053763441
